ID,ゲーム仕様文,ゲーム仕様が含まれるタイトル,プリンセスメーカー,ベスト競馬・ダービースタリオン,卒業 Graduation,ときめきメモリアル,Jリーグプロサッカークラブをつくろう!,実況パワフルプロ野球3,子育てクイズ マイエンジェル,エターナルメロディ,ゲームで発見!!たまごっち,悠久幻想曲,モンスターファーム,プリメ・ゆめみる妖精,ポケットモンスター ルビー・サファイア,nintendogs,アイドルマスター,ウイニングポストワールド,ドラゴンクエストIX 星空の守り人,ドラゴンクエストモンスターズ ジョーカー2,おさわり探偵 なめこ栽培キット,パズル＆ドラゴンズ,艦これ,パワプロアプリ,刀剣乱舞,Fate/Grand Order,共通していた頻度,第一類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる最も類似しているゲーム仕様文,BERTによる第一類似のスコア,第二類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第二に類似しているゲーム仕様文,BERTによる第二類似のスコア,第三類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第三に類似しているゲーム仕様文,BERTによる第三類似のスコア
396,入学試験など特別な時期イベントでは目標正解数に満たない場合ゲームオーバーになる,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,関係度が上限に達しても特定パラメータが満たない場合はアイテムを獲得できない,0.93,0,パラメータが一定値以上でないと発生しないイベントがある,0.92,0,第二ゲームでは規定人数をデッキに編成しないとゲーム開始できない,0.92
397,選択肢に応じてパラメータを獲得できる場合がある,子育てクイズ マイエンジェル,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,バトルの順位に応じて特定パラメータを獲得できる,0.96,0,報酬で育成対象キャラクターを獲得できることがある,0.95,0,特訓場所に応じて獲得できるパラメータが異なる,0.95
398,時期イベントではミニゲームが開始するものがある,子育てクイズ マイエンジェル,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,時期イベントの選択肢には所持金を消費するものがある,0.94,10,一部の時期イベントではミニゲームで勝敗が決まる。,0.93,0,ステージにはアイテムのみ獲得できるものがある,0.92
399,ミニゲームの結果に応じてパラメータを獲得,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,バトルの順位に応じて特定パラメータを獲得できる,0.97,3,バトルの順位に応じて報酬を獲得できる,0.96,0,順位に応じてゲーム内通貨を獲得できる,0.95
400,ミニゲームの結果に応じて育成対象キャラクターのコメントが変化,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,選択肢の結果によって育成対象キャラクターのモチベーションが変化する,0.96,0,時間経過に応じて育成対象キャラクターのパラメータが変化する,0.96,0,パラメータの変化に応じて育成対象キャラクターの待機モーションが変化する,0.96
401,時期イベントでは選択肢に応じたCGが表示される,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成対象キャラクターのイベントには選択肢が表示される,0.95,0,イベントでは選択肢によってパラメータが変化する,0.95,0,イベントでは選択肢によって関係度が変化する,0.94
402,時期イベントCGはアルバムからも確認可能,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,称号はメニューから確認可能,0.89,0,武器防具のレアリティはメニューから確認可能,0.89,0,パラメータはパラメータ確認画面から確認可能,0.88
403,育成モードをクリアしないとプレイできない別の育成モードがある,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,12,1,他プレイヤーの育成対象キャラクターと対戦できるモードがある,0.94,0,マップで特定の場所を訪れていないと挑戦できない種目がある,0.94,0,育成モードとは別に対戦モードがある,0.93
404,上記は育成モードのクリアデータを使用し性格パラメータが引き継がれる,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,能力アップでは経験値を使って、育成対象キャラクターの特殊能力を獲得できる,0.93,0,牧場や厩舎で育成対象キャラクターを選択すると、パラメータ以外の情報や実績が表示される。,0.93,0,能力アップでは経験値を使って、育成対象キャラクターのパラメータを上昇できる,0.93
405,プレイヤーキャラクター専用のパラメータがある,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成対象キャラクターにはパラメータがある,0.95,2,プレイヤーキャラクターにはコスト系パラメータがある,0.95,0,プレイヤーキャラクターには育成パラメータがない,0.94
406,クイズ正答率や回答までのスピードで変化する,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,正解で獲得できるお金は出題から正解を選択するまでの時間が早いほど多く獲得,0.92,0,育成はクイズの正解選択肢によって獲得するパラメータで行われる,0.91,0,クイズ回答中はそのクイズでどのパラメータが上昇するかは分からない,0.91
407,プレイヤーキャラクター専用のパラメータは育成終了時に評価される,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成キャラクターの各パラメータは主にバトルで使用される,0.96,0,イベントでは育成対象キャラクターのパラメータが変動する,0.95,0,探検では育成対象キャラクターのパラメータが変動する,0.95
408,セーブは特定ターンでのみ可能,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,セーブは特定施設NPCと会話すると実行可能,0.93,0,自動選択コマンドはバトル中以外でもメニュー画面から設定可能,0.93,0,シナリオの途中で職業変更が特定施設で可能になる,0.93
409,1度に育成できるキャラは1キャラのみ,子育てクイズ マイエンジェル,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1度に育成できるのは1キャラクターのみ,0.98,0,セーブデータは1つのみ作成できる,0.92,0,育成キャラクターは同時に3キャラまで同時に育成が可能,0.92
410,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
411,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
412,,エターナルメロディ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
413,育成対象キャラクターとプレイヤーキャラクターは1部同1,エターナルメロディ,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,7,9,育成対象キャラクターとプレイヤーキャラクターは同一,0.99,0,育成対象キャラクターと攻略対象キャラクターは一致しない,0.95,0,プレイヤーキャラクター以外の育成キャラクターは特定施設で入れ替えができる,0.93
414,育成対象キャラクターが複数いる,エターナルメロディ,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18,10,育成対象キャラが複数いる,0.99,10,育成対象キャラクターが複数いる。,0.99,10,育成対象キャラクターが複数種類いる,0.98
415,パラメータとの結びつきが不明な目標がそれとなく提示される,エターナルメロディ,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,11,9,パラメータとの結びつきが不明な目標がはっきりと提示される,0.98,0,関係度は複数のパラメータによって構成される,0.9,0,探索での成功失敗には特定パラメータが使用される,0.9
416,ゲームの最初にプレイヤーキャラクターの名前を決める,エターナルメロディ,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,14,10,ゲームの最初にプレイヤーキャラクターの名前を決める,0.99,0,ゲームの最初にプレイヤーキャラクターの身分を決める。,0.98,0,ゲームの最初に育成対象キャラクターの名前を決める。,0.98
417,ゲームの最初にプレイヤーキャラクターの能力割り振りを決める,エターナルメロディ,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,ゲームの最初にプレイヤーキャラクターのパラメータの割り振りを決める,0.98,0,ゲームの最初にプレイヤーキャラクターの身分を決める。,0.98,0,ゲームの最初にプレイヤーキャラクターの名前を決める。,0.98
418,育成対象キャラクターが複数いる,エターナルメロディ,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18,10,育成対象キャラが複数いる,0.99,10,育成対象キャラクターが複数いる。,0.99,10,育成対象キャラクターが複数種類いる,0.98
419,ゲームの最初にデッキ編成する,エターナルメロディ,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,16,8,ゲームの最初にスポンサーを選択する,0.94,10,ゲームの最初に育成対象キャラクターを決める,0.94,10,ゲームの最初に育成対象キャラクターを選択する,0.93
420,育成対象キャラクターを固定グループから3人選ぶ,エターナルメロディ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,7,9,初期育成キャラクターは固定グループの中から1キャラクターのみ選択,0.95,10,ゲームの最初に育成対象キャラクターを選ぶ（10人の育成対象キャラのなかから任意の3人の仲間を選択）。,0.94,0,デッキ編成した育成対象キャラクターの中からリーダーを選べる,0.94
421,デッキ編成後育成対象キャラクター群のパーティー名を決める,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ゲームの最初に育成対象キャラクターの名前を決める,0.96,0,ゲームの最初に育成対象キャラクターの所属チームを決める,0.96,0,最初に育成対象キャラクターの名前を決める,0.95
422,育成対象キャラクターには複数のパラメータが設定されている,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,武器には複数のパラメータが設定されている,0.98,0,育成対象キャラクターには属性が設定されている,0.97,0,育成対象キャラクターにはタイプが設定されている,0.97
423,キャラにはスキルがある,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,10,育成キャラクターにはスキルがある,0.97,0,武器にはレベルがある,0.96,0,育成キャラクターにはランクがある,0.95
424,スキルは育成コマンドによって覚える,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,育成キャラクターはわざを覚える,0.94,0,リーダースキルはバトル中に発動する,0.93,0,育成コマンドでは対応する経験値を獲得できる,0.93
425,育成期間が決まっている,エターナルメロディ,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,11,9,育成期間がある,0.93,0,各育成対象キャラクターごとに育成期間が設定されている,0.91,10,育成期限が存在する,0.91
426,ターン制,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,7,9,バトルはターン制,0.93,10,バトルはターン制を採用,0.87,0,バトルはターン制で進行,0.85
427,平日にはメイン画面が出る,エターナルメロディ,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,休日にはメイン画面が表示される,0.95,0,メイン画面では現在の日付が表示される,0.91,9,平日には育成画面が出る。,0.91
428,メイン画面では以下のコマンドが実行できる,エターナルメロディ,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,10,メイン画面では以下のコマンドが選択できる,0.98,9,メイン画面では以下の6つのコマンドが選択できる。,0.96,9,メイン画面では最大で以下7つのコマンドを選択できる。,0.95
429,パラメータ画面に遷移するコマンド,エターナルメロディ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,パーティ画面に遷移するコマンド,0.98,0,メイン画面に遷移するコマンド,0.97,0,育成画面に遷移するコマンド,0.97
430,パーティ画面に遷移するコマンド,エターナルメロディ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,パラメータ画面に遷移するコマンド,0.98,0,メイン画面に遷移するコマンド,0.98,0,育成画面に遷移するコマンド,0.97
431,システムメニューではセーブができる,エターナルメロディ,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,11,0,システムメニューではロードができる,0.98,0,メイン画面ではセーブができる,0.98,10,システムメニューからセーブができる,0.98
432,システムメニューではロードができる,エターナルメロディ,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,システムメニューではセーブができる,0.98,0,メイン画面ではセーブができる,0.96,0,システムメニューからセーブができる,0.95
433,キャラ毎に低いパラメータと高いパラメータの値は色がついている,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,専用アイテムごとにタイプ補正値がある,0.92,0,育成キャラクターのレベルには共通の上限値がある,0.92,0,スキルは育成対象キャラクター毎に1つ設定されている,0.92
434,メイン画面には目的地までの日付が表示されている,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,メイン画面には日付が表示されている,0.97,0,メイン画面には現在の日付が表示されている,0.97,0,メイン画面には生まれてからの日付が表示されている,0.96
435,メイン画面と育成画面は1体化している,エターナルメロディ,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,メイン画面と育成画面は一体化している。,0.99,8,メイン画面と育成画面、およびパラメータ表示画面は一体化している。,0.97,0,メイン画面には装備アイテムが表示されている,0.93
436,メイン画面には所持金が表示されている,エターナルメロディ,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,メイン画面には装備アイテムが表示されている,0.98,10,メイン画面では所持金が表示される,0.97,0,メイン画面には日付が表示されている,0.97
437,パーティ画面では各キャラクターの関係度が表示されている,エターナルメロディ,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,9,4,メイン画面には各キャラクターのパラメータが表示されている,0.97,4,育成画面には育成対象キャラクターのパラメータが表示されている,0.97,4,メイン画面には育成対象キャラクターのパラメータの一部が表示されている,0.97
438,育成コマンドが複数種ある,エターナルメロディ,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,15,10,育成コマンドには複数種ある,0.97,10,育成モードが複数ある,0.95,10,育成馬の強化コマンドは複数種存在する,0.95
439,育成コマンドは育成対象キャラクターごとに設定できる,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,リーダースキルは育成対象キャラクターごとに異なる,0.96,0,育成対象キャラクターのタイプごとに育成シナリオが異なる,0.96,0,育成対象キャラクターごとに得意な育成コマンドが設定されている,0.96
440,育成コマンドの中に休息コマンドがある,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,育成コマンドの中に休息コマンドがある。,0.99,0,育成コマンドには特訓コマンドがある,0.94,0,育成コマンドにはランダム要素がある,0.93
441,休息コマンドはパラメータを下げてコスト系パラメータを上げる,エターナルメロディ,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,10,休息コマンドはパラメータを下げて、コスト系パラメータを回復させる。,0.98,8,休息コマンドは、パラメータと所持金を消費してコスト系パラメータを回復する,0.95,3,モチベーションを回復してコスト系パラメータを減少させる休息コマンド,0.94
442,育成コマンドはキャラのコスト系パラメータを消費する,エターナルメロディ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,育成コマンドはコスト系パラメータを消費する,0.99,10,育成コマンドではコスト系パラメータが消費される,0.97,0,育成キャラクターのコスト系パラメータを回復にはアイテムを消費する,0.97
443,育成コマンド実行後にキャラのパラメータ変化量が確認できる,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,育成コマンドによるパラメータの変化は育成コマンド実行後に確認できる,0.98,10,育成コマンド実行後に上昇値を確認できる,0.97,0,育成馬強化コマンドの上昇量は実行前に確認できる,0.96
444,実行した育成コマンドに応じたパラメータが変動する,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,実行した育成コマンドに応じたパラメータが上昇する,0.99,10,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,0.98,0,実行した育成コマンドに応じて育成対象キャラクターがリアクションする,0.96
445,育成コマンドには成功と失敗がある,エターナルメロディ,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10,育成コマンドは成功と失敗がある。,0.99,10,育成コマンドには成功失敗がある,0.96,0,装備入手コマンドには成功失敗がある,0.93
446,育成コマンドの実行にはゲーム内通貨を使用できる,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,育成コマンドではゲーム内通貨を獲得できる,0.96,0,強化合成にはゲーム内通貨を消費,0.96,0,増築にはゲーム内通貨を消費する,0.96
447,育成コマンドは1ターン数日分設定して進行する,エターナルメロディ,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,特訓コマンド実行後、一定ターン自動で進行する,0.93,0,育成コマンドは育成対象キャラクターごとに設定できる,0.93,0,毎ターン育成コマンド実行前に育成馬の強化を行う,0.93
448,特定の日付で編成した育成対象キャラクターのイベントが発生する,エターナルメロディ,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,特定の育成対象キャラクターでのみ発生するイベントがある,0.96,0,指定した育成対象キャラクターを派遣してパラメータを強化するコンテンツがある,0.95,0,イベントでは育成対象キャラクターのパラメータが変動する,0.95
449,育成対象キャラクターのイベントには選択肢が表示される,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,イベントでは育成対象キャラクターのパラメータが変動する,0.96,0,メイン画面では育成対象キャラクターの名前が表示される,0.96,0,メイン画面では育成対象キャラクターの能力が表示される,0.96
450,選択結果に応じてプレイヤーキャラクターイベント発生キャラクターのパラメータが上昇,エターナルメロディ,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,8,4,ミニゲームの結果に応じて育成対象キャラクターのコメントが変化,0.94,2,イベントでは育成対象キャラクターのパラメータが変動する,0.94,0,時間経過に応じて育成対象キャラクターのパラメータが変化する,0.94
451,使用する通貨量に応じて成功率が変動する,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,成功率の割合に応じて表示色が変化,0.94,0,レースの結果に応じて関係値が変動する,0.94,0,関係度を構成するパラメータ値に応じて育成コマンドの成功率が変動する,0.94
452,育成コマンド実行中は育成対象キャラクターのSDキャラクターが登場する,エターナルメロディ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,育成コマンドの成否によって育成対象キャラクターのワイプの顔が変化する。,0.95,0,育成対象キャラクターはバトル中に必殺状態になる,0.95,0,育成対象キャラクターのイベントには選択肢が表示される,0.95
453,育成コマンドはコスト系パラメータを消費する,エターナルメロディ,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,育成コマンドはキャラのコスト系パラメータを消費する,0.99,10,育成コマンドではコスト系パラメータが消費される,0.98,10,全ての育成コマンドはコスト系パラメータを消費する。,0.97
454,育成対象キャラクターごとに得意な育成コマンドが設定されている,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成対象キャラクターには複数のパラメータが設定されている,0.96,0,各育成対象キャラクターごとに育成期間が設定されている,0.96,0,スキルは育成対象キャラクター毎に設定されている,0.96
455,得意な育成コマンドは成功率が上がる,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成馬強化コマンドの成功率は確認できる,0.93,0,関係度が高いと表示される育成コマンドがある,0.93,0,関係度が高いと実行できる育成コマンドがある,0.93
456,同じ育成コマンドをした育成対象キャラクターどうしの関係度が上昇する,エターナルメロディ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,同じ育成コマンドを設定すると関係度が上がる,0.96,0,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,0.95,0,イベントではイベントが発生した相手キャラクターとの関係度（親密度）が変化する,0.95
457,イベントでは選択肢によって関係度が変化する,エターナルメロディ,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,イベントでは選択肢によってパラメータが変化する,0.98,10,会話の選択肢によって関係度が増減する,0.97,10,イベントでは、会話の選択肢によって、関係度が増減する,0.97
458,イベントでは選択肢によってパラメータが変化する,エターナルメロディ,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,イベントでは選択肢によって関係度が変化する,0.98,0,イベントでは育成対象キャラクターのパラメータが変動する,0.97,10,イベントでは、会話の選択肢によって、関係度が増減する,0.96
459,休日には以下のコマンドのうち1つ実行できる,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,休日には以下のコマンドが２回実行できる,0.95,0,メイン画面では以下のコマンドが実行できる,0.94,0,メイン画面では以下のコマンドが選択できる,0.92
460,コスト系パラメータを回復するコマンド,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,コスト系パラメータを回復する休息コマンド,0.98,5,モチベーションとコスト系パラメータを少量回復する休息コマンド,0.95,10,休みコマンドではコスト系パラメータを回復できる,0.95
461,異常を回復するコマンド,エターナルメロディ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,コスト系パラメータを回復するコマンド,0.94,5,イベントを起こしたり、状態異常を回復するコマンド,0.93,0,コスト系パラメータを回復する休息コマンド,0.93
462,所持金を消費して任意のキャラクターとイベントを発生させるコマンド,エターナルメロディ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,アイテムを複数種消費して育成対象キャラクターをランダムで入手できるコマンドがある,0.95,0,強化合成は所持している別の育成対象キャラクターを消費して任意のキャラクターが経験値を獲得できる,0.94,0,アイテムを複数種消費して装備をランダムで入手できるコマンドがある,0.94
463,イベントでは関係度が増える,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,イベントでは選択肢によって関係度が変化する,0.95,0,季節イベントではパラメーターが上昇する,0.95,10,関係度を増やすイベントで育成対象キャラクターのパラメータが増減,0.95
464,関係度がある,エターナルメロディ,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,13,10,関係度が存在する,0.95,8,育成対象キャラクター同士にも関係度がある,0.87,10,関係値がある,0.85
465,関係度が1定値以上で発生するイベントがある,エターナルメロディ,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,11,10,関係度が一定以上で発生するイベントがある,0.99,10,パラメータが一定値以上でないと発生しないイベントがある,0.96,8,一定パラメータ値以下の状態で町へ行くと関係値が変化する,0.95
466,関係度が数値以外の方法で表示される,エターナルメロディ,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,10,関係度は数値以外の方法で表示される,0.99,0,関係度が数値で表示される,0.96,0,関係度が数値で表示されている,0.94
467,同じ育成コマンドを設定すると関係度が上がる,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,同じ育成コマンドをした育成対象キャラクターどうしの関係度が上昇する,0.96,0,関係度が高いと表示される育成コマンドがある,0.95,0,関係度が高いと実行できる育成コマンドがある,0.95
468,育成対象キャラクター同士にも関係度がある,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成対象キャラクターにはレアリティがある,0.93,0,同じ育成コマンドをした育成対象キャラクターどうしの関係度が上昇する,0.93,0,育成対象キャラクターのタイプごとに育成シナリオが異なる,0.92
469,関係度の初期値はキャラクターに応じて異なる,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,パラメータの初期値は育成対象キャラクターによって異なる,0.96,0,職業に応じて初期パラメータ及びレベルアップ時の上昇パラメータ値が異なる,0.95,0,せいかくに応じて育成対象キャラクターのパラメータ上昇値が異なる,0.95
470,イベント中の選択結果に応じて関係値が変動,エターナルメロディ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,育成終了時のパラメータに応じてEDが変化,0.91,0,レースの結果に応じて関係値が変動する,0.91,5,時期イベントの結果によってパラメータが増減する,0.9
471,関係度によってエンディングが変化する,エターナルメロディ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,イベントでは選択肢によって関係度が変化する,0.96,0,会話の選択肢によって関係度が増減する,0.95,0,イベントでは選択肢によってパラメータが変化する,0.94
472,所持金を増やすコマンド,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,所持金を消費する休息コマンド,0.95,0,所持金を増やすコマンドにはランダムイベントがある,0.93,0,所持金を消費しない休息コマンド,0.93
473,所持金を増やすコマンドには成功失敗がある,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,装備入手コマンドには成功失敗がある,0.96,0,所持金を増やすコマンドにはランダムイベントがある,0.96,0,育成コマンドには成功失敗がある,0.96
474,所持金を増やすコマンドにはランダムイベントがある,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,時期イベントの選択肢には所持金を消費するものがある,0.97,0,所持金を増やすコマンドには成功失敗がある,0.96,0,育成コマンドには所持金を増加させるものがある,0.96
475,コスト系パラメータを消費しすぎると状態異常になる,エターナルメロディ,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,コスト系パラメータが別のパラメータを上回ると状態異常になる,0.96,8,コスト系パラメータが高まると育成やレースの際に状態異常になりやすい。,0.95,9,特定のパラメータが0になると状態異常になる。,0.94
476,育成対象キャラクターにはボイスがついている,エターナルメロディ,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,育成対象キャラクターにはパラメータがある,0.94,0,育成キャラクターにはスキルが設定されている,0.93,0,育成対象キャラクターには属性が設定されている,0.93
477,育成パラメーターでバトルするコンテンツがある,エターナルメロディ,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,19,8,育成パラメーターを競うコンテンツがある,0.97,8,他プレイヤーの育成キャラクターとバトルできるコンテンツがある,0.95,0,育成キャラクターのせいかくによって上昇しやすい専用コンテンツ用のパラメーターがある,0.95
478,バトルはすごろく状のマップで行われる,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,バトル結果に応じてすごろく内での動作に影響が出る,0.91,0,マップ移動中や特定の場所ではバトルが発生する,0.91,0,バトルはターン制で進行,0.91
